"OCUPACION","OCUPACION.NOMBRE","SALARIO","CLASE.SEGURO","X..orden","CAMBIO"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5063159.60","C",55,"OC"
9152,"Guardianes y porteros ","938527.70","C",53,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4469290.90","C",168,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5263201.70","C",137,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","6297414.40","C",68,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5034275.30","C",64,"SCS"
2227,"Médico Especialista","5561419.50","C",44,"SA"
2227,"Médico Especialista","4533470.00","C",186,"SCS"
2227,"Médico Especialista","5226250.00","C",306,"SA"
7125,"Encargado de Mantenimiento de Edificios","765537.70","C",7,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","5714247.60","C",183,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4835780.89","C",226,"SA"
2227,"Médico Especialista","4219739.35","C",55,"SA"
2227,"Médico Especialista","4051884.70","C",1,"SCS"
5132,"Ayudantes de enfermería","961590.00","C",50,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","2411612.00","C",29,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","7409705.50","C",48,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4588506.10","C",116,"SA"
2222,"Odontólogos","2229749.70","C",14,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","23461906.34","C",358,"SA"
2227,"Médico Especialista","5217894.50","C",38,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","6198846.10","C",84,"SCS"
2227,"Médico Especialista","7701234.37","C",2,"SA"
2222,"Odontólogos","2998225.09","C",11,"SA"
2227,"Médico Especialista","5695000.40","C",69,"SCS"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","849410.00","C",134,"SCS"
9155,"Ayudante de cocina","595366.75","C",2,"SA"
2227,"Médico Especialista","7155937.40","C",192,"SA"
2222,"Odontólogos","1882456.30","C",24,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4600120.60","C",225,"SA"
2222,"Odontólogos","1340714.40","C",42,"SCS"
2461,"Sacerdotes de distintas religiones, monjas y monjes","727461.00","C",36,"SCS"
2227,"Médico Especialista","4024698.20","C",43,"SA"
2222,"Odontólogos","2892500.40","C",34,"SA"
3226,"Auxiliares de enfermería","549918.75","C",37,"SA"
3226,"Auxiliares de enfermería","1610588.40","C",221,"SA"
2445,"Psicólogos","3589216.70","C",84,"SCS"
2222,"Odontólogos","1879695.00","C",14,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","2833377.30","C",9,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","11792506.36","C",299,"SA"
2227,"Médico Especialista","4151163.40","C",9,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5456811.70","C",254,"SA"
9155,"Ayudante de cocina","646880.15","C",1,"SA"
2226,"Enfermeros profesionales","2213104.25","C",98,"SA"
2226,"Enfermeros profesionales","1863213.10","C",1,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4712415.80","C",183,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4888348.00","C",220,"SCS"
5132,"Ayudantes de enfermería","688431.70","C",179,"SA"
2449,"Otros profesionales en ciencias sociales","2535826.00","C",14,"IC"
2221,"Médicos generales y especialistas","4076674.90","C",13,"OC"
8229,"Otros operadores de máquinas para fabricar productos químicos","553417.30","C",23,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","7047696.70","C",237,"SA"
5132,"Ayudantes de enfermería","898845.00","C",13,"SCS"
9331,"Conductores de vehículos accionados a pedal o a brazo","73163.98","C",2,"SA"
2227,"Médico Especialista","4529259.10","C",58,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2959281.52","C",19,"SA"
7125,"Encargado de Mantenimiento de Edificios","796390.00","C",12,"SCS"
2227,"Médico Especialista","3678235.30","C",139,"SCS"
2227,"Médico Especialista","6009049.60","C",232,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4337169.60","C",306,"SCS"
2445,"Psicólogos","2988600.40","C",124,"SA"
2227,"Médico Especialista","4359702.12","C",253,"SA"
2227,"Médico Especialista","2545328.40","C",121,"SCS"
2227,"Médico Especialista","231353.73","C",126,"IC"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","3710317.80","C",85,"SCS"
2227,"Médico Especialista","7918063.14","C",143,"SA"
5132,"Ayudantes de enfermería","1061072.40","C",21,"SCS"
2227,"Médico Especialista","4618731.30","C",283,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3577484.80","C",189,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","10432028.58","C",31,"SA"
3229,"Otros técnicos de las ciencias de la salud","833000.00","C",2,"SA"
5132,"Ayudantes de enfermería","926412.95","C",192,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","13918765.62","C",41,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4154647.90","C",294,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4335011.30","C",181,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2336205.81","C",51,"SA"
9152,"Guardianes y porteros ","745715.45","C",16,"SA"
2222,"Odontólogos","4034808.20","C",3,"SCS"
2222,"Odontólogos","3746663.20","C",16,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2402462.70","C",11,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2389526.00","C",62,"SCS"
3229,"Otros técnicos de las ciencias de la salud","1410732.20","C",3,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3317153.70","C",30,"SCS"
2227,"Médico Especialista","6130065.45","C",125,"SA"
2227,"Médico Especialista","4033760.40","C",9,"SA"
2226,"Enfermeros profesionales","333293.80","C",53,"SA"
2226,"Enfermeros profesionales","1905080.80","C",56,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","17529729.11","C",42,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","3750456.70","C",20,"IC"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","8280456.50","C",171,"SA"
3229,"Otros técnicos de las ciencias de la salud","718760.00","C",6,"SCS"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","1119145.56","C",5,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","290923.92","A",1,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4129947.20","C",32,"SA"
2224,"Farmacéuticos","4276256.00","C",71,"SCS"
2221,"Médicos generales y especialistas","6403042.05","C",48,"SA"
2227,"Médico Especialista","6494251.35","C",22,"SA"
2227,"Médico Especialista","3920888.40","C",33,"SCS"
2227,"Médico Especialista","5629839.29","C",2,"SA"
2224,"Farmacéuticos","3863752.11","C",11,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","921772.50","C",5,"SCS"
4131,"Empleados de control de abastecimiento e inventario","1038760.35","C",100,"SA"
2449,"Otros profesionales en ciencias sociales","1565527.50","C",17,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","7806362.98","C",204,"SA"
3419,"Otros técnicos en administración y en economía","1631822.00","C",34,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","753360.00","C",15,"SA"
7125,"Encargado de Mantenimiento de Edificios","741340.00","C",2,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","966929.80","C",89,"SA"
2227,"Médico Especialista","11307548.50","C",47,"SA"
2226,"Enfermeros profesionales","2632565.30","C",224,"SCS"
2221,"Médicos generales y especialistas","7107784.40","C",26,"SA"
2229,"Otros profesionales en ciencias de la salud","1424314.00","C",503,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","7401930.40","C",22,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4555822.90","C",48,"SA"
2227,"Médico Especialista","3950013.10","C",9,"SCS"
2226,"Enfermeros profesionales","5518467.95","C",206,"SA"
2227,"Médico Especialista","3995651.30","C",188,"SCS"
2445,"Psicólogos","2913361.10","C",19,"SCS"
2227,"Médico Especialista","13206522.79","C",13,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","582120.00","C",8,"SCS"
2221,"Médicos generales y especialistas","7166721.33","C",10,"SA"
